Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22
0.028684318,0.024715781,-0.16830367,-0.13573584,-0.120124966,-0.11105794,-0.09236431,-0.08870691,-0.08136833,-0.059492946,-0.07365227,-0.07022011,-0.09632629,-0.07538509,-0.04200107,-0.06917131,-0.06154996,-0.046407104,-0.041074634,-0.04960835,-0.04136312,-0.015841603,-0.030564487,-0.010154188
0.022842586,0.021298885,-0.17443448,-0.1581167,-0.12431061,-0.12062359,-0.08166182,-0.089827,-0.079473436,-0.08281708,-0.077435434,-0.07946211,-0.10474914,-0.087709725,-0.03657317,-0.0728147,-0.05795777,-0.06003833,-0.041172147,-0.06787026,-0.029089034,-0.008980691,-0.028831363,0.0009753108
0.018432498,0.006350577,-0.19330472,-0.16954553,-0.13186419,-0.12975836,-0.093129426,-0.10182646,-0.09991795,-0.10203904,-0.09068006,-0.09259033,-0.11685723,-0.10123491,-0.052452862,-0.08419353,-0.064762294,-0.053306997,-0.05059856,-0.10344565,-0.03438306,-0.021907508,-0.043530285,-0.008779466
0.016364872,0.014720023,-0.15241992,-0.13083413,-0.08340663,-0.09281948,-0.065910816,-0.0676676,-0.06099212,-0.08623046,-0.054987967,-0.05804223,-0.08668959,-0.07032186,-0.019948483,-0.06522918,-0.04822713,-0.028752148,-0.032206178,-0.06908202,-0.034599006,0.00047457218,-0.014203966,0.0118640065
0.018894732,0.01669836,-0.066871405,-0.06348503,-0.046310067,-0.025019228,-0.029502988,-0.04336369,-0.051586986,-0.057505965,-0.01665306,-0.036408186,-0.00087207556,-0.0031508803,0.029060006,0.01638627,-0.00849241,-0.020571351,-0.023163378,0.02034837,-0.013494134,0.00716424,,
0.007784009,0.0071231127,-0.12027836,-0.14155382,-0.08328956,-0.09152657,-0.09210366,-0.095534086,-0.08220345,-0.08190197,-0.063590705,-0.062814355,-0.02648127,-0.02300179,-0.030811548,0.008021414,-0.03939277,-0.035018206,-0.015294015,0.0027504563,-0.034157097,-0.013276875,,
-0.0009572506,0.0012955666,-0.14753884,-0.16069049,-0.11055708,-0.119571626,-0.11535424,-0.12295526,-0.1032837,-0.11313945,-0.09589285,-0.08027327,-0.05913937,-0.05652386,-0.056715548,-0.004440844,-0.06359637,-0.051026642,-0.028976917,-0.008923233,-0.0573709,-0.03434527,,
0.003771603,-0.0036574602,-0.051356196,-0.06263268,-0.047015786,-0.02652216,-0.041238546,-0.03898251,-0.049195707,-0.041343212,-0.034084976,-0.032055557,-0.014292777,-0.02598691,-0.03147024,-0.012883544,-0.01996541,-0.023054957,-0.01764226,-0.007346213,-0.027689397,-0.018444955,,
-0.01636368,-0.014475524,-0.022080302,-0.0076259375,-0.008841991,-0.001206696,-0.003614843,-0.0018539429,-0.013073921,0.0034158826,-0.004333675,-0.019803166,-0.018086314,-0.018168211,-0.00058496,-0.004421234,-0.010080457,-0.021304607,-0.0023011565,-0.014869034,-0.008217096,-0.009006202,-0.018380702,-0.01902616
0.0013875961,9.679794e-05,-0.018022656,-0.022850752,-0.013468087,-0.006090522,-0.020558357,-0.0121895075,-0.00058692694,-0.020409167,0.00091034174,-0.011923015,-0.01301676,0.036086082,0.026572764,0.010954976,0.0022675395,0.00658828,0.0041374564,-0.010686994,0.0021176338,0.026656628,0.02439779,0.023019016
-0.024461389,-0.019225538,-0.12414551,-0.11808181,-0.106583476,-0.0893625,-0.08933091,-0.083740175,-0.0881449,-0.06906617,-0.05948484,-0.062106013,-0.057910144,-0.015718162,-0.03450632,-0.051781,-0.03679061,-0.027361214,-0.037240505,-0.06925422,-0.044376254,0.014568448,-0.02030009,-0.03709668
-0.035533547,-0.043302298,-0.20194262,-0.16836578,-0.18453342,-0.15144765,-0.13709211,-0.11380786,-0.14198542,-0.10036975,-0.111970484,-0.1098029,-0.102375746,-0.08267319,-0.07236731,-0.10748041,-0.071311116,-0.06989038,-0.086067796,-0.1029799,-0.060001314,-0.023340404,-0.051877737,-0.08052343
-0.104717195,-0.07912153,-0.3424242,-0.22030765,-0.23861688,-0.2318992,-0.20658886,-0.21599412,-0.17329812,-0.21845663,-0.20776635,-0.17345941,-0.19221902,-0.15502667,-0.14730567,-0.15630728,-0.15756452,-0.16268504,-0.14145654,-0.11045432,-0.16716635,-0.105593264,,
-0.025959134,-0.043132186,-0.28981715,-0.19398129,-0.1847769,-0.20910442,-0.18573678,-0.1649164,-0.16070318,-0.16596854,-0.14507645,-0.13481313,-0.12872398,-0.090886414,-0.086550236,-0.12144983,-0.08785474,-0.10881257,-0.12798142,-0.053023636,-0.11639178,-0.051690757,,
-0.0033838153,-0.021767259,-0.25896496,-0.18168354,-0.16627067,-0.18182725,-0.16290581,-0.14332545,-0.14528155,-0.15004855,-0.11781293,-0.11358756,-0.0957337,-0.07701361,-0.062034667,-0.09881526,-0.06651884,-0.087144375,-0.11120778,-0.04508865,-0.099179685,-0.042306483,,
0.03779018,-0.01732248,-0.13370228,-0.10939813,-0.07121217,-0.0962227,-0.067457855,-0.07815945,-0.078692675,-0.106111825,-0.035214722,-0.062850535,-0.015123963,-0.02439934,0.04123044,-0.012801886,0.0138626695,-0.043004274,-0.043421686,-0.005351186,-0.047895193,0.01034224,,
-0.0010761619,-0.008916378,-0.140737,-0.13323069,-0.11212075,-0.10885811,-0.09858823,-0.08307731,-0.105086446,-0.102841735,-0.076491,-0.0806703,-0.014632881,-0.008574605,-0.035989523,-0.009316266,-0.033862293,-0.052845597,-0.042122662,0.018789649,-0.05259067,0.0049230456,,
-0.0023171902,-0.00074005127,-0.17595279,-0.15690225,-0.12801021,-0.12168151,-0.12061012,-0.10658437,-0.11513877,-0.109099925,-0.089883685,-0.08417851,-0.05979687,-0.054465055,-0.061183035,-0.034021497,-0.06178403,-0.04380417,-0.043946028,-0.017519116,-0.058030903,-0.040455937,,
-0.02022332,-0.013301611,-0.017336786,-0.006238818,-0.006868422,-0.010944426,-0.025114,-0.019528508,-0.009901106,-0.014799237,-0.020574927,-0.02241236,-0.012812793,0.016295731,0.004763663,-0.0012121797,-0.023774683,0.0011663437,-0.0023748279,-0.007238567,-0.012061775,0.016606152,0.01222676,0.0021911263
