Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21
-0.020833373,-0.03527785,-0.059222333,-0.057944555,-0.053111203,-0.053388983,-0.04933343,-0.050833434,-0.047888987,-0.043111205,-0.044611193,-0.040722318,-0.043000095,-0.03861119,-0.035555646,-0.035111167,-0.03438896,-0.033222295,-0.029555626,-0.028166741,-0.007555574,-0.0067777783,
-0.03325838,-0.04982508,-0.07699175,-0.07532509,-0.0695834,-0.07046676,-0.06654175,-0.067941755,-0.065133415,-0.059783414,-0.06168341,-0.058308415,-0.0610084,-0.055275053,-0.050725058,-0.049666725,-0.04791674,-0.04849171,-0.04452505,-0.041758403,-0.005666703,-0.0050833225,
0.003372699,0.0043636113,0.0064999834,0.006745428,0.006527245,0.0074545145,0.006645441,0.006736353,0.0061090738,0.0060817897,0.0063363463,0.006490886,0.0064272583,0.005645424,0.005254507,0.0059363395,0.0058090687,0.0055726916,0.0053545237,0.0050908923,0.00057272613,0.00039999932,
0.00607498,0.008987486,0.012874976,0.013624981,0.01298748,0.014124975,0.012999982,0.013149992,0.011799976,0.011537477,0.01236248,0.012349978,0.01274997,0.0106999725,0.009812474,0.011062488,0.011262476,0.010762468,0.010299966,0.010262489,-7.450581e-09,-7.450581e-09,
0.0097198635,0.014379814,0.020599708,0.021799698,0.020779714,0.022599682,0.020799711,0.021039724,0.018879741,0.018459737,0.019779712,0.01975973,0.020399705,0.01711978,0.015699789,0.017699733,0.018019766,0.017219767,0.016479775,0.016419768,-7.450581e-09,-7.450581e-09,
-0.032399952,-0.047933266,-0.06866658,-0.07266657,-0.06926659,-0.07533324,-0.06933323,-0.07013324,-0.06293325,-0.061533242,-0.06593324,-0.065866575,-0.067999914,-0.05706659,-0.052333266,-0.058999933,-0.06006659,-0.05739992,-0.054933272,-0.054733276,-7.450581e-09,-7.450581e-09,-0.054133266
-0.024299935,-0.0359499,-0.051499866,-0.05449986,-0.051949866,-0.05649985,-0.05199986,-0.052599862,-0.047199875,-0.04614988,-0.049449872,-0.049399868,-0.050999865,-0.04279989,-0.039249904,-0.044249892,-0.045049883,-0.043049887,-0.041199893,-0.041049898,-7.450581e-09,-7.450581e-09,-0.040599898
0.0,0.0,-5.5879354e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09,-7.450581e-09,-7.450581e-09,-3.7252903e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09
-0.03749995,-0.06349994,-0.1065999,-0.10429991,-0.095599905,-0.09609992,-0.08879991,-0.09149992,-0.086199924,-0.077599935,-0.08029992,-0.07329993,-0.07739992,-0.06949994,-0.063999936,-0.06319993,-0.06189993,-0.059799947,-0.053199947,-0.05069995,-0.04630007,-0.04110004,
-0.037499964,-0.06349994,-0.1065999,-0.10429991,-0.095599905,-0.09609992,-0.08879991,-0.09149992,-0.086199924,-0.077599935,-0.08029992,-0.07329993,-0.07739992,-0.069499955,-0.063999936,-0.063199945,-0.06189993,-0.059799947,-0.053199947,-0.05069995,-0.07016666,-0.061766654,
